market,cut,segment,bets,wins,losses,pushes,win_pct,pnl,roi,t_stat
SPREAD (ATS),conference vs non-conference,non-conference,5712,2848,2781,83,0.506,-18898.93,-0.0331,-2.64
SPREAD (ATS),by week,a. weeks 1-2,2626,1327,1258,41,0.5133,-5061.82,-0.0193,-1.04
SPREAD (ATS),by week,b. weeks 3-5,3444,1707,1681,56,0.5038,-12671.18,-0.0368,-2.28
SPREAD (ATS),by week,c. weeks 6-10,5928,2961,2864,103,0.5083,-16774.22,-0.0283,-2.3
SPREAD (ATS),by week,d. week 11+,4406,2168,2167,71,0.5001,-19308.58,-0.0438,-3.07
SPREAD (ATS),by week,e. bowls / playoff,146,74,71,1,0.5103,-372.73,-0.0255,-0.32
SPREAD (ATS),venue x line size,home dog a. +0.5 to +3,1221,585,597,39,0.4949,-6192.68,-0.0507,-1.88
SPREAD (ATS),venue x line size,home dog b. +3.5 to +7,1589,801,763,25,0.5121,-3421.68,-0.0215,-0.91
SPREAD (ATS),venue x line size,home dog c. +7.5 to +10,753,369,371,13,0.4986,-3525.63,-0.0468,-1.36
SPREAD (ATS),venue x line size,home dog d. +10.5 to +14,737,378,352,7,0.5178,-818.54,-0.0111,-0.32
SPREAD (ATS),venue x line size,home dog e. +14.5 to +21,771,341,416,14,0.4505,-10579.12,-0.1372,-4.04
SPREAD (ATS),venue x line size,home dog f. +21.5 to +28,312,142,164,6,0.4641,-3471.64,-0.1113,-2.08
SPREAD (ATS),venue x line size,home dog g. +28.5 to +35,107,58,48,1,0.5472,473.56,0.0443,0.48
SPREAD (ATS),venue x line size,home dog h. +35 or more,24,15,9,0,0.625,463.64,0.1932,1.0
SPREAD (ATS),venue x line size,neutral site a. +0.5 to +3,114,60,50,4,0.5455,474.06,0.0416,0.47
SPREAD (ATS),venue x line size,neutral site b. +3.5 to +7,157,93,60,4,0.6078,2468.65,0.1572,2.13
SPREAD (ATS),venue x line size,neutral site c. +7.5 to +10,79,31,47,1,0.3974,-1878.39,-0.2378,-2.26
SPREAD (ATS),venue x line size,neutral site d. +10.5 to +14,80,39,41,0,0.4875,-551.2,-0.0689,-0.64
SPREAD (ATS),venue x line size,neutral site e. +14.5 to +21,67,38,29,0,0.5672,560.12,0.0836,0.72
SPREAD (ATS),venue x line size,neutral site f. +21.5 to +28,32,16,16,0,0.5,-140.29,-0.0438,-0.26
SPREAD (ATS),venue x line size,neutral site g. +28.5 to +35,17,8,8,1,0.5,-72.73,-0.0428,-0.18
SPREAD (ATS),venue x line size,neutral site h. +35 or more,22,11,11,0,0.5,-98.74,-0.0449,-0.22
SPREAD (ATS),venue x line size,road dog a. +0.5 to +3,1371,723,618,30,0.5391,4143.58,0.0302,1.19
SPREAD (ATS),venue x line size,road dog b. +3.5 to +7,1971,980,958,33,0.5057,-6544.79,-0.0332,-1.56
SPREAD (ATS),venue x line size,road dog c. +7.5 to +10,1089,554,520,15,0.5158,-1614.27,-0.0148,-0.52
SPREAD (ATS),venue x line size,road dog d. +10.5 to +14,1406,698,693,15,0.5018,-5783.85,-0.0411,-1.62
SPREAD (ATS),venue x line size,road dog e. +14.5 to +21,1834,922,887,25,0.5097,-4822.34,-0.0263,-1.19
SPREAD (ATS),venue x line size,road dog f. +21.5 to +28,1225,593,619,13,0.4893,-7969.45,-0.0651,-2.4
SPREAD (ATS),venue x line size,road dog g. +28.5 to +35,771,389,375,7,0.5092,-2123.49,-0.0275,-0.8
SPREAD (ATS),venue x line size,road dog h. +35 or more,801,393,389,19,0.5026,-3163.3,-0.0395,-1.18
SPREAD (ATS),rest advantage,a. dog rested 5+ more days,1333,697,618,18,0.53,1673.32,0.0126,0.48
SPREAD (ATS),rest advantage,b. dog rested 1-4 more days,2127,1084,1003,40,0.5194,-1600.52,-0.0075,-0.37
SPREAD (ATS),rest advantage,c. equal rest,8264,4113,4007,144,0.5065,-26209.44,-0.0317,-3.04
SPREAD (ATS),rest advantage,d. favourite rested 1-4 more,1846,859,959,28,0.4725,-17636.91,-0.0955,-4.33
SPREAD (ATS),rest advantage,e. favourite rested 5+ more,1261,616,627,18,0.4956,-6674.21,-0.0529,-1.98
SPREAD (ATS),opening -> closing line move,a. dog gave back 1+ pts (bet on dog),2831,1392,1396,43,0.4993,-12848.71,-0.0454,-2.55
SPREAD (ATS),opening -> closing line move,b. dog gave back 0.5 pt,1180,599,563,18,0.5155,-1752.24,-0.0148,-0.54
SPREAD (ATS),opening -> closing line move,c. line never moved,1318,637,639,42,0.4992,-5832.6,-0.0443,-1.71
SPREAD (ATS),opening -> closing line move,d. dog gained 0.5 pt,1282,616,646,20,0.4881,-8528.91,-0.0665,-2.51
SPREAD (ATS),opening -> closing line move,e. dog gained 1+ pts (bet on fav),3401,1699,1654,48,0.5067,-10727.53,-0.0315,-1.94
FAVOURITE MONEYLINE,"favourite moneyline, by underdog line size",a. +0.5 to +3,2233,1175,1058,0,0.5262,-18361.58,-0.0822,-4.45
FAVOURITE MONEYLINE,"favourite moneyline, by underdog line size",b. +3.5 to +7,3011,1955,1056,0,0.6493,-13385.99,-0.0445,-3.45
FAVOURITE MONEYLINE,"favourite moneyline, by underdog line size",c. +7.5 to +10,1508,1132,376,0,0.7507,-3902.64,-0.0259,-1.79
