game_id,season,week,season_type,date,neutral_site,conference_game,home_team,away_team,home_conference,away_conference,home_division,away_division,home_points,away_points,spread_home,n_books_spread,ml_home,ml_away,n_books_ml,dog,dog_team,fav_team,dog_conference,fav_conference,dog_line,dog_line_open,dog_spread_price,fav_spread_price,dog_ml,fav_ml,dog_source,dog_margin,dog_rest,fav_rest
401013337,2018,3,regular,2018-09-15,FALSE,FALSE,Nebraska,Troy,Big Ten,Sun Belt,fbs,fbs,19,24,-10.0,42,-370.0,295.0,21,away,Troy,Nebraska,Sun Belt,Big Ten,10.0,7.5,-110.0,-110.0,295.0,-370.0,spread,5.0,7,7
401013338,2018,5,regular,2018-09-29,FALSE,TRUE,Nebraska,Purdue,Big Ten,Big Ten,fbs,fbs,28,42,3.5,42,147.0,-169.0,21,home,Nebraska,Purdue,Big Ten,Big Ten,3.5,3.0,-110.0,-110.0,147.0,-169.0,spread,-14.0,7,7
401013339,2018,6,regular,2018-10-06,FALSE,TRUE,Wisconsin,Nebraska,Big Ten,Big Ten,fbs,fbs,41,24,-18.0,42,-970.0,700.0,19,away,Nebraska,Wisconsin,Big Ten,Big Ten,18.0,23.0,-110.0,-110.0,700.0,-970.0,spread,-17.0,7,13
401013340,2018,7,regular,2018-10-13,FALSE,TRUE,Northwestern,Nebraska,Big Ten,Big Ten,fbs,fbs,34,31,-3.5,42,-166.0,145.0,21,away,Nebraska,Northwestern,Big Ten,Big Ten,3.5,8.5,-110.0,-110.0,145.0,-166.0,spread,-3.0,7,7
401013341,2018,10,regular,2018-11-03,FALSE,TRUE,Ohio State,Nebraska,Big Ten,Big Ten,fbs,fbs,36,31,-17.0,42,-931.0,650.0,18,away,Nebraska,Ohio State,Big Ten,Big Ten,17.0,21.0,-110.0,-109.0,650.0,-931.0,spread,-5.0,7,14
401013342,2018,1,regular,2018-08-31,FALSE,TRUE,Purdue,Northwestern,Big Ten,Big Ten,fbs,fbs,27,31,-1.0,42,-115.0,-105.0,21,away,Northwestern,Purdue,Big Ten,Big Ten,1.0,3.0,-110.0,-110.0,-105.0,-115.0,spread,4.0,,
401013343,2018,3,regular,2018-09-15,FALSE,FALSE,Northwestern,Akron,Big Ten,Mid-American,fbs,fbs,34,39,-21.5,42,-1500.0,920.0,16,away,Akron,Northwestern,Mid-American,Big Ten,21.5,21.0,-110.0,-110.0,920.0,-1500.0,spread,5.0,7,7
401013344,2018,9,regular,2018-10-27,FALSE,TRUE,Northwestern,Wisconsin,Big Ten,Big Ten,fbs,fbs,31,17,4.5,42,170.0,-200.0,21,home,Northwestern,Wisconsin,Big Ten,Big Ten,4.5,5.5,-110.0,-110.0,170.0,-200.0,spread,14.0,7,7
401013345,2018,10,regular,2018-11-03,FALSE,FALSE,Northwestern,Notre Dame,Big Ten,FBS Independents,fbs,fbs,21,31,10.0,42,305.0,-375.0,21,home,Northwestern,Notre Dame,Big Ten,FBS Independents,10.0,7.0,-110.0,-110.0,305.0,-375.0,spread,-10.0,7,6
401013346,2018,4,regular,2018-09-22,FALSE,FALSE,Ohio State,Tulane,Big Ten,American Athletic,fbs,fbs,49,6,-37.5,42,-40000.0,15000.0,3,away,Tulane,Ohio State,American Athletic,Big Ten,37.5,34.5,-110.0,-110.0,15000.0,-40000.0,spread,-43.0,7,6
401013347,2018,5,regular,2018-09-29,FALSE,TRUE,Penn State,Ohio State,Big Ten,Big Ten,fbs,fbs,26,27,3.5,42,155.0,-177.0,21,home,Penn State,Ohio State,Big Ten,Big Ten,3.5,4.0,-107.0,-111.0,155.0,-177.0,spread,-1.0,7,7
401013348,2018,8,regular,2018-10-20,FALSE,TRUE,Purdue,Ohio State,Big Ten,Big Ten,fbs,fbs,49,20,12.5,42,365.0,-465.0,19,home,Purdue,Ohio State,Big Ten,Big Ten,12.5,12.0,-110.0,-110.0,365.0,-465.0,spread,29.0,7,7
401013349,2018,1,regular,2018-09-01,FALSE,FALSE,Penn State,App State,Big Ten,Sun Belt,fbs,fbs,45,38,-24.5,42,-2405.0,1234.5,14,away,App State,Penn State,Sun Belt,Big Ten,24.5,24.0,-110.0,-110.0,1234.5,-2405.0,spread,-7.0,,
401013350,2018,3,regular,2018-09-15,FALSE,FALSE,Penn State,Kent State,Big Ten,Mid-American,fbs,fbs,63,10,-35.0,42,-16418.0,8418.0,3,away,Kent State,Penn State,Mid-American,Big Ten,35.0,34.5,-110.0,-110.0,8418.0,-16418.0,spread,-53.0,7,6
401013351,2018,11,regular,2018-11-10,FALSE,TRUE,Penn State,Wisconsin,Big Ten,Big Ten,fbs,fbs,22,10,-7.5,42,-290.0,240.0,21,away,Wisconsin,Penn State,Big Ten,Big Ten,7.5,8.0,-110.0,-109.0,240.0,-290.0,spread,-12.0,7,7
401013352,2018,2,regular,2018-09-08,FALSE,FALSE,Purdue,Eastern Michigan,Big Ten,Mid-American,fbs,fbs,19,20,-15.0,42,-650.0,480.0,19,away,Eastern Michigan,Purdue,Mid-American,Big Ten,15.0,14.0,-110.0,-110.0,480.0,-650.0,spread,1.0,8,8
401013353,2018,12,regular,2018-11-17,FALSE,TRUE,Purdue,Wisconsin,Big Ten,Big Ten,fbs,fbs,44,47,-3.5,42,-170.0,150.0,21,away,Wisconsin,Purdue,Big Ten,Big Ten,3.5,6.0,-110.0,-110.0,150.0,-170.0,spread,3.0,7,7
401013354,2018,1,regular,2018-09-01,FALSE,FALSE,Wisconsin,Western Kentucky,Big Ten,Conference USA,fbs,fbs,34,3,-36.0,42,-28384.5,10450.0,4,away,Western Kentucky,Wisconsin,Conference USA,Big Ten,36.0,33.0,-110.0,-110.0,10450.0,-28384.5,spread,-31.0,,
